"adj_rand" "est" "T" "seed"
1 "MAP" 0.05 2015
1 "MAP" 0.1 2015
1 "MAP" 0.15 2015
1 "MAP" 0.2 2015
1 "MAP" 0.25 2015
1 "MAP" 0.3 2015
1 "MAP" 0.35 2015
1 "MAP" 0.4 2015
1 "MAP" 0.45 2015
1 "MAP" 0.5 2015
1 "MAP" 0.55 2015
1 "MAP" 0.6 2015
1 "MAP" 0.65 2015
1 "MAP" 0.7 2015
1 "MAP" 0.75 2015
1 "MAP" 0.8 2015
1 "MAP" 0.85 2015
1 "MAP" 0.9 2015
1 "MAP" 0.95 2015
1 "MAP" 1 2015
1 "MAP" 0.05 2016
1 "MAP" 0.1 2016
1 "MAP" 0.15 2016
1 "MAP" 0.2 2016
1 "MAP" 0.25 2016
1 "MAP" 0.3 2016
1 "MAP" 0.35 2016
1 "MAP" 0.4 2016
1 "MAP" 0.45 2016
1 "MAP" 0.5 2016
1 "MAP" 0.55 2016
1 "MAP" 0.6 2016
1 "MAP" 0.65 2016
1 "MAP" 0.7 2016
1 "MAP" 0.75 2016
1 "MAP" 0.8 2016
1 "MAP" 0.85 2016
1 "MAP" 0.9 2016
1 "MAP" 0.95 2016
1 "MAP" 1 2016
0.549356223175966 "MAP" 0.05 2017
1 "MAP" 0.1 2017
1 "MAP" 0.15 2017
1 "MAP" 0.2 2017
1 "MAP" 0.25 2017
1 "MAP" 0.3 2017
1 "MAP" 0.35 2017
1 "MAP" 0.4 2017
1 "MAP" 0.45 2017
1 "MAP" 0.5 2017
1 "MAP" 0.55 2017
1 "MAP" 0.6 2017
1 "MAP" 0.65 2017
1 "MAP" 0.7 2017
1 "MAP" 0.75 2017
1 "MAP" 0.8 2017
1 "MAP" 0.85 2017
1 "MAP" 0.9 2017
1 "MAP" 0.95 2017
1 "MAP" 1 2017
1 "MAP" 0.05 2018
0.947121034077556 "MAP" 0.1 2018
0.947121034077556 "MAP" 0.15 2018
1 "MAP" 0.2 2018
1 "MAP" 0.25 2018
1 "MAP" 0.3 2018
1 "MAP" 0.35 2018
1 "MAP" 0.4 2018
1 "MAP" 0.45 2018
1 "MAP" 0.5 2018
1 "MAP" 0.55 2018
1 "MAP" 0.6 2018
1 "MAP" 0.65 2018
1 "MAP" 0.7 2018
1 "MAP" 0.75 2018
1 "MAP" 0.8 2018
1 "MAP" 0.85 2018
1 "MAP" 0.9 2018
1 "MAP" 0.95 2018
1 "MAP" 1 2018
0.950819672131148 "MAP" 0.05 2019
0.950819672131148 "MAP" 0.1 2019
1 "MAP" 0.15 2019
1 "MAP" 0.2 2019
1 "MAP" 0.25 2019
1 "MAP" 0.3 2019
1 "MAP" 0.35 2019
1 "MAP" 0.4 2019
1 "MAP" 0.45 2019
1 "MAP" 0.5 2019
1 "MAP" 0.55 2019
1 "MAP" 0.6 2019
1 "MAP" 0.65 2019
1 "MAP" 0.7 2019
1 "MAP" 0.75 2019
1 "MAP" 0.8 2019
1 "MAP" 0.85 2019
1 "MAP" 0.9 2019
1 "MAP" 0.95 2019
1 "MAP" 1 2019
0.64 "MAP" 0.05 2020
0.941634241245136 "MAP" 0.1 2020
1 "MAP" 0.15 2020
1 "MAP" 0.2 2020
1 "MAP" 0.25 2020
1 "MAP" 0.3 2020
1 "MAP" 0.35 2020
1 "MAP" 0.4 2020
1 "MAP" 0.45 2020
1 "MAP" 0.5 2020
1 "MAP" 0.55 2020
1 "MAP" 0.6 2020
1 "MAP" 0.65 2020
1 "MAP" 0.7 2020
1 "MAP" 0.75 2020
1 "MAP" 0.8 2020
1 "MAP" 0.85 2020
1 "MAP" 0.9 2020
1 "MAP" 0.95 2020
1 "MAP" 1 2020
1 "MAP" 0.05 2021
1 "MAP" 0.1 2021
1 "MAP" 0.15 2021
1 "MAP" 0.2 2021
1 "MAP" 0.25 2021
1 "MAP" 0.3 2021
1 "MAP" 0.35 2021
1 "MAP" 0.4 2021
1 "MAP" 0.45 2021
1 "MAP" 0.5 2021
1 "MAP" 0.55 2021
1 "MAP" 0.6 2021
1 "MAP" 0.65 2021
1 "MAP" 0.7 2021
1 "MAP" 0.75 2021
1 "MAP" 0.8 2021
1 "MAP" 0.85 2021
1 "MAP" 0.9 2021
1 "MAP" 0.95 2021
1 "MAP" 1 2021
0.950819672131148 "MAP" 0.05 2022
1 "MAP" 0.1 2022
1 "MAP" 0.15 2022
1 "MAP" 0.2 2022
1 "MAP" 0.25 2022
1 "MAP" 0.3 2022
1 "MAP" 0.35 2022
1 "MAP" 0.4 2022
1 "MAP" 0.45 2022
1 "MAP" 0.5 2022
1 "MAP" 0.55 2022
1 "MAP" 0.6 2022
1 "MAP" 0.65 2022
1 "MAP" 0.7 2022
1 "MAP" 0.75 2022
1 "MAP" 0.8 2022
