"n_clust" "T"
5.16758324167583 0.01
5.4029597040296 0.02
5.30596940305969 0.03
5.95820417958204 0.04
5.998800119988 0.05
6.00539946005399 0.06
6.01579842015798 0.07
6.00199980002 0.08
6.001699830017 0.09
5.999800019998 0.1
6.02189781021898 0.11
6.02549745025497 0.12
6.01059894010599 0.13
6.00809919008099 0.14
6.00679932006799 0.15
6.00659934006599 0.16
6.01829817018298 0.17
6.00099990001 0.18
6.00909909009099 0.19
6.01379862013799 0.2
6.00609939006099 0.21
6.01399860013999 0.22
6.00499950004999 0.23
6.02589741025897 0.24
5.996500349965 0.25
6.01519848015198 0.26
6.01729827017298 0.27
6.02129787021298 0.28
6.01179882011799 0.29
6.01639836016398 0.3
6.00819918008199 0.31
6.03139686031397 0.32
6.00859914008599 0.33
6.00779922007799 0.34
6.01169883011699 0.35
6.002399760024 0.36
6.00589941005899 0.37
6.03239676032397 0.38
6.01279872012799 0.39
6.01039896010399 0.4
6.004399560044 0.41
6.01929807019298 0.42
6.01939806019398 0.43
6.01149885011499 0.44
6.03659634036596 0.45
6.01029897010299 0.46
6.02509749025097 0.47
6.01879812018798 0.48
6.02029797020298 0.49
6.01839816018398 0.5
6.00909909009099 0.51
6.01239876012399 0.52
6.01769823017698 0.53
6.05109489051095 0.54
6.02019798020198 0.55
6.04599540045995 0.56
6.02549745025497 0.57
6.02099790020998 0.58
6.00669933006699 0.59
6.001399860014 0.6
6.03149685031497 0.61
6.01529847015298 0.62
6.01619838016198 0.63
6.02049795020498 0.64
6.00619938006199 0.65
6.02049795020498 0.66
6.03019698030197 0.67
6.05169483051695 0.68
6.03859614038596 0.69
6.00939906009399 0.7
6.02109789021098 0.71
6.02219778022198 0.72
6.05589441055894 0.73
6.04599540045995 0.74
6.02929707029297 0.75
6.00709929007099 0.76
6.01599840015998 0.77
6.01959804019598 0.78
6.03039696030397 0.79
6.01429857014299 0.8
6.00799920007999 0.81
6.01339866013399 0.82
6.02509749025097 0.83
6.02119788021198 0.84
6.01309869013099 0.85
6.02649735026497 0.86
6.00559944005599 0.87
6.03869613038696 0.88
6.03029697030297 0.89
6.01079892010799 0.9
6.03369663033697 0.91
6.04499550044996 0.92
6.01659834016598 0.93
6.01479852014798 0.94
6.00799920007999 0.95
6.00969903009699 0.96
6.02739726027397 0.97
6.00819918008199 0.98
6.02709729027097 0.99
6.01139886011399 1
