"n_clust" "T" "burn"
4.39206754805022 0.01 "yes"
5.42528607932452 0.02 "yes"
4.76235973780691 0.03 "yes"
4.79180091100989 0.04 "yes"
5.28830129985557 0.05 "yes"
5.88790134429508 0.06 "yes"
6.04755027219198 0.07 "yes"
6.24208421286524 0.08 "yes"
6.09965559382291 0.09 "yes"
6.07676924786135 0.1 "yes"
6.04088434618376 0.11 "yes"
6.09810021108766 0.12 "yes"
6.06232640817687 0.13 "yes"
6.27608043550717 0.14 "yes"
6.15731585379402 0.15 "yes"
6.05966003777358 0.16 "yes"
6.14820575491612 0.17 "yes"
6.1053216309299 0.18 "yes"
6.69770025552716 0.19 "yes"
6.03977335851572 0.2 "yes"
6.35429396733696 0.21 "yes"
6.0089990001111 0.22 "yes"
6 0.23 "yes"
6.13909565603822 0.24 "yes"
6.05832685257194 0.25 "yes"
6.21630929896678 0.26 "yes"
6.02321964226197 0.27 "yes"
6.17686923675147 0.28 "yes"
6.14798355738251 0.29 "yes"
6.08343517386957 0.3 "yes"
6.16675924897234 0.31 "yes"
6.07710254416176 0.32 "yes"
6.13498500166648 0.33 "yes"
6.3221864237307 0.34 "yes"
6.09532274191757 0.35 "yes"
6.01899788912343 0.36 "yes"
6.21408732363071 0.37 "yes"
6.00966559271192 0.38 "yes"
6.08465726030441 0.39 "yes"
6.04777246972559 0.4 "yes"
6.27330296633707 0.41 "yes"
6.01833129652261 0.42 "yes"
6.16287079213421 0.43 "yes"
6.15887123652927 0.44 "yes"
6.04077324741695 0.45 "yes"
6.09610043328519 0.46 "yes"
6.36862570825464 0.47 "yes"
6.0693256304855 0.48 "yes"
6.23108543495167 0.49 "yes"
6.06943672925231 0.5 "yes"
6.10632151983113 0.51 "yes"
6.19331185423842 0.52 "yes"
6.33274080657705 0.53 "yes"
6.05377180313299 0.54 "yes"
6.07943561826464 0.55 "yes"
6.07565826019331 0.56 "yes"
6.12409732251972 0.57 "yes"
6 0.58 "yes"
6 0.59 "yes"
6.09454505054994 0.6 "yes"
6.40239973336296 0.61 "yes"
6.0753249638929 0.62 "yes"
6.14831685368292 0.63 "yes"
6.08710143317409 0.64 "yes"
6.00044439506721 0.65 "yes"
6.0272191978669 0.66 "yes"
6.29141206532607 0.67 "yes"
6.33707365848239 0.68 "yes"
6.15876013776247 0.69 "yes"
6.31707588045773 0.7 "yes"
6.18453505166093 0.71 "yes"
6.4637262526386 0.72 "yes"
6 0.73 "yes"
6.18642373069659 0.74 "yes"
6.17686923675147 0.75 "yes"
6.14187312520831 0.76 "yes"
6.06688145761582 0.77 "yes"
6.12565270525497 0.78 "yes"
6.03444061770914 0.79 "yes"
6.12776358182424 0.8 "yes"
6.05799355627153 0.81 "yes"
6.20986557049217 0.82 "yes"
6.39951116542606 0.83 "yes"
6.06143761804244 0.84 "yes"
6.0632151983113 0.85 "yes"
6.2077546939229 0.86 "yes"
6.22364181757582 0.87 "yes"
6.22797466948117 0.88 "yes"
6.37895789356738 0.89 "yes"
6.06721475391623 0.9 "yes"
6.08010221086546 0.91 "yes"
6.68781246528164 0.92 "yes"
6.45372736362626 0.93 "yes"
6.07510276635929 0.94 "yes"
6.10376624819464 0.95 "yes"
6.02433062993001 0.96 "yes"
6.2379735584935 0.97 "yes"
6.06821464281746 0.98 "yes"
6.15098322408621 0.99 "yes"
6.15187201422064 1 "yes"
4.85341465853415 0.01 "no"
5.84911508849115 0.02 "no"
5.13968603139686 0.03 "no"
5.08759124087591 0.04 "no"
5.60753924607539 0.05 "no"
6.23287671232877 0.06 "no"
6.44785521447855 0.07 "no"
6.55794420557944 0.08 "no"
6.50594940505949 0.09 "no"
6.37536246375362 0.1 "no"
6.34796520347965 0.11 "no"
6.42595740425957 0.12 "no"
6.42915708429157 0.13 "no"
6.64743525647435 0.14 "no"
6.58044195580442 0.15 "no"
6.4948505149485 0.16 "no"
6.46925307469253 0.17 "no"
6.55404459554045 0.18 "no"
7.01879812018798 0.19 "no"
6.44845515448455 0.2 "no"
6.75222477752225 0.21 "no"
6.43375662433757 0.22 "no"
6.36816318368163 0.23 "no"
6.58874112588741 0.24 "no"
6.41945805419458 0.25 "no"
6.61333866613339 0.26 "no"
6.32106789321068 0.27 "no"
6.68353164683532 0.28 "no"
6.62323767623238 0.29 "no"
6.40925907409259 0.3 "no"
6.47125287471253 0.31 "no"
6.43925607439256 0.32 "no"
6.45085491450855 0.33 "no"
6.66283371662834 0.34 "no"
6.57724227577242 0.35 "no"
6.56854314568543 0.36 "no"
6.55924407559244 0.37 "no"
6.35366463353665 0.38 "no"
6.4007599240076 0.39 "no"
6.43365663433657 0.4 "no"
6.59174082591741 0.41 "no"
6.41155884411559 0.42 "no"
6.67603239676032 0.43 "no"
6.48865113488651 0.44 "no"
6.48885111488851 0.45 "no"
6.38566143385661 0.46 "no"
6.8961103889611 0.47 "no"
6.41495850414958 0.48 "no"
6.6965303469653 0.49 "no"
6.46745325467453 0.5 "no"
6.62493750624937 0.51 "no"
6.63413658634137 0.52 "no"
6.72112788721128 0.53 "no"
6.53614638536146 0.54 "no"
6.44605539446055 0.55 "no"
6.45045495450455 0.56 "no"
6.47505249475052 0.57 "no"
6.34236576342366 0.58 "no"
6.34286571342866 0.59 "no"
6.5985401459854 0.6 "no"
6.89171082891711 0.61 "no"
6.39476052394761 0.62 "no"
6.55714428557144 0.63 "no"
6.54514548545145 0.64 "no"
6.39196080391961 0.65 "no"
6.41265873412659 0.66 "no"
6.66273372662734 0.67 "no"
6.80781921807819 0.68 "no"
6.58894110588941 0.69 "no"
6.67483251674833 0.7 "no"
6.58734126587341 0.71 "no"
6.80821917808219 0.72 "no"
6.31686831316868 0.73 "no"
6.6014398560144 0.74 "no"
6.50794920507949 0.75 "no"
6.56164383561644 0.76 "no"
6.47095290470953 0.77 "no"
6.57194280571943 0.78 "no"
6.42395760423958 0.79 "no"
6.59114088591141 0.8 "no"
6.41295870412959 0.81 "no"
6.72082791720828 0.82 "no"
6.80951904809519 0.83 "no"
6.3989601039896 0.84 "no"
6.45775422457754 0.85 "no"
6.65843415658434 0.86 "no"
6.61673832616738 0.87 "no"
6.67553244675532 0.88 "no"
6.80601939806019 0.89 "no"
6.44815518448155 0.9 "no"
6.53184681531847 0.91 "no"
7.10898910108989 0.92 "no"
6.86381361863814 0.93 "no"
6.45075492450755 0.94 "no"
6.5958404159584 0.95 "no"
6.45125487451255 0.96 "no"
6.66333366663334 0.97 "no"
6.43865613438656 0.98 "no"
6.58334166583342 0.99 "no"
6.52824717528247 1 "no"
