"avg_dens" "T" "part"
501.993580758896 0.5 "different clusters"
504.697356139136 2.5 "different clusters"
504.674932517533 4.5 "different clusters"
504.8433419316 6.5 "different clusters"
504.541877049293 8.5 "different clusters"
504.260344844181 10.5 "different clusters"
504.349918771104 12.5 "different clusters"
504.531924170376 14.5 "different clusters"
504.399293974395 16.5 "different clusters"
504.307096583913 18.5 "different clusters"
504.356593989072 20.5 "different clusters"
504.319273822248 22.5 "different clusters"
504.536371621614 24.5 "different clusters"
504.480712304257 26.5 "different clusters"
504.442931856412 28.5 "different clusters"
504.452028262818 30.5 "different clusters"
504.504430285487 32.5 "different clusters"
504.519644277136 34.5 "different clusters"
504.476412559504 36.5 "different clusters"
504.536026459921 38.5 "different clusters"
504.557138822997 40.5 "different clusters"
504.541384521836 42.5 "different clusters"
504.539297352905 44.5 "different clusters"
504.599298980969 46.5 "different clusters"
504.549920712702 48.5 "different clusters"
504.518476477988 50.5 "different clusters"
504.465763718674 52.5 "different clusters"
504.458042083248 54.5 "different clusters"
504.449681998511 56.5 "different clusters"
504.462258250113 58.5 "different clusters"
504.411145600582 60.5 "different clusters"
504.377087448646 62.5 "different clusters"
504.338622585139 64.5 "different clusters"
504.33265350909 66.5 "different clusters"
504.282824242403 68.5 "different clusters"
504.303071054791 70.5 "different clusters"
504.320210560682 72.5 "different clusters"
504.353486331241 74.5 "different clusters"
504.368973530422 76.5 "different clusters"
504.311639757185 78.5 "different clusters"
504.274798218448 80.5 "different clusters"
504.263188024143 82.5 "different clusters"
504.213307932385 84.5 "different clusters"
504.182812414956 86.5 "different clusters"
504.164048721906 88.5 "different clusters"
504.176123070981 90.5 "different clusters"
504.126369557397 92.5 "different clusters"
504.132132305387 94.5 "different clusters"
504.148426924181 96.5 "different clusters"
504.155160571913 98.5 "different clusters"
504.173157679995 100.5 "different clusters"
504.160288182593 102.5 "different clusters"
504.194074396592 104.5 "different clusters"
504.21586341117 106.5 "different clusters"
504.219209207053 108.5 "different clusters"
504.228942796409 110.5 "different clusters"
504.257713290628 112.5 "different clusters"
504.232849080368 114.5 "different clusters"
504.233930848947 116.5 "different clusters"
504.237827480945 118.5 "different clusters"
504.257475487096 120.5 "different clusters"
504.257460483529 122.5 "different clusters"
504.234589609394 124.5 "different clusters"
504.216004797472 126.5 "different clusters"
504.203114435178 128.5 "different clusters"
504.176830505505 130.5 "different clusters"
504.160923038458 132.5 "different clusters"
504.170815533539 134.5 "different clusters"
504.159389136895 136.5 "different clusters"
504.149431015905 138.5 "different clusters"
504.137863901795 140.5 "different clusters"
504.145734591549 142.5 "different clusters"
504.134907365309 144.5 "different clusters"
504.11076756019 146.5 "different clusters"
504.109051580642 148.5 "different clusters"
504.108712809751 150.5 "different clusters"
504.111387347537 152.5 "different clusters"
504.089390353882 154.5 "different clusters"
504.093736255881 156.5 "different clusters"
504.072503461501 158.5 "different clusters"
504.08614192435 160.5 "different clusters"
504.060485775483 162.5 "different clusters"
504.078031334479 164.5 "different clusters"
504.0952512004 166.5 "different clusters"
504.088202740019 168.5 "different clusters"
504.090269308318 170.5 "different clusters"
504.081279449564 172.5 "different clusters"
504.073681719703 174.5 "different clusters"
504.069811539825 176.5 "different clusters"
504.088757891044 178.5 "different clusters"
504.090683051516 180.5 "different clusters"
504.105961900807 182.5 "different clusters"
504.104744667395 184.5 "different clusters"
504.10494864757 186.5 "different clusters"
504.095332597012 188.5 "different clusters"
504.110192746825 190.5 "different clusters"
504.11914463326 192.5 "different clusters"
504.121777763395 194.5 "different clusters"
504.11233638955 196.5 "different clusters"
504.07938764973 198.5 "different clusters"
504.086835457023 200.5 "different clusters"
502.110790991517 0.5 "same cluster"
504.716259762026 2.5 "same cluster"
504.68644123292 4.5 "same cluster"
504.840200849719 6.5 "same cluster"
504.534904815695 8.5 "same cluster"
504.249012220902 10.5 "same cluster"
504.347642479646 12.5 "same cluster"
504.531288807295 14.5 "same cluster"
504.393188678862 16.5 "same cluster"
504.302854489912 18.5 "same cluster"
504.355479573923 20.5 "same cluster"
504.316331339717 22.5 "same cluster"
504.53106990339 24.5 "same cluster"
504.478144810624 26.5 "same cluster"
504.429355173076 28.5 "same cluster"
504.445727712345 30.5 "same cluster"
504.50539353753 32.5 "same cluster"
504.516131206569 34.5 "same cluster"
504.474673852929 36.5 "same cluster"
504.533089066387 38.5 "same cluster"
504.547912536633 40.5 "same cluster"
504.539938163172 42.5 "same cluster"
504.533701952801 44.5 "same cluster"
504.597247173581 46.5 "same cluster"
504.548566358548 48.5 "same cluster"
504.51057996673 50.5 "same cluster"
504.460226954835 52.5 "same cluster"
504.454106018845 54.5 "same cluster"
504.442998394245 56.5 "same cluster"
504.452888332237 58.5 "same cluster"
504.402842114525 60.5 "same cluster"
504.372231989133 62.5 "same cluster"
504.333801231167 64.5 "same cluster"
504.32586089977 66.5 "same cluster"
504.276344704872 68.5 "same cluster"
504.292219087902 70.5 "same cluster"
504.302701078424 72.5 "same cluster"
504.345861421054 74.5 "same cluster"
504.363874804186 76.5 "same cluster"
504.302204343987 78.5 "same cluster"
504.271421830724 80.5 "same cluster"
504.255638516478 82.5 "same cluster"
504.207256251062 84.5 "same cluster"
504.173863328589 86.5 "same cluster"
504.154084314329 88.5 "same cluster"
504.17306620563 90.5 "same cluster"
504.124702264303 92.5 "same cluster"
504.123693012112 94.5 "same cluster"
504.141349202559 96.5 "same cluster"
504.149910393108 98.5 "same cluster"
504.164389413049 100.5 "same cluster"
504.154658835054 102.5 "same cluster"
504.185788140988 104.5 "same cluster"
504.20342152548 106.5 "same cluster"
504.207362168917 108.5 "same cluster"
504.221424387467 110.5 "same cluster"
504.248655191006 112.5 "same cluster"
504.227860535421 114.5 "same cluster"
504.226929755299 116.5 "same cluster"
504.230431497437 118.5 "same cluster"
504.251446403755 120.5 "same cluster"
504.247057455922 122.5 "same cluster"
504.223355940863 124.5 "same cluster"
504.209904294229 126.5 "same cluster"
504.197752556492 128.5 "same cluster"
504.164452836072 130.5 "same cluster"
504.15250648747 132.5 "same cluster"
504.161944755621 134.5 "same cluster"
504.155589277009 136.5 "same cluster"
504.142903531838 138.5 "same cluster"
504.133592843509 140.5 "same cluster"
504.141282026894 142.5 "same cluster"
504.132052933745 144.5 "same cluster"
504.104086295001 146.5 "same cluster"
504.101723553972 148.5 "same cluster"
504.102737302478 150.5 "same cluster"
504.108685353062 152.5 "same cluster"
504.080154281771 154.5 "same cluster"
504.087986733972 156.5 "same cluster"
504.070800620165 158.5 "same cluster"
504.075950822012 160.5 "same cluster"
504.054965948289 162.5 "same cluster"
504.072840234072 164.5 "same cluster"
504.09242864605 166.5 "same cluster"
504.079382503671 168.5 "same cluster"
504.085184700949 170.5 "same cluster"
504.074597147627 172.5 "same cluster"
504.071824359009 174.5 "same cluster"
504.057532744372 176.5 "same cluster"
504.08158481244 178.5 "same cluster"
504.089607646868 180.5 "same cluster"
504.098413963765 182.5 "same cluster"
504.094826113338 184.5 "same cluster"
504.094678395421 186.5 "same cluster"
504.090411681727 188.5 "same cluster"
504.102507165471 190.5 "same cluster"
504.109666680938 192.5 "same cluster"
504.116289822451 194.5 "same cluster"
504.107180503216 196.5 "same cluster"
504.067450374702 198.5 "same cluster"
504.081294477615 200.5 "same cluster"
501.982674125865 0.5 "random from prior"
504.71183251095 2.5 "random from prior"
504.681355924276 4.5 "random from prior"
504.860645689324 6.5 "random from prior"
504.544289279563 8.5 "random from prior"
504.262222106573 10.5 "random from prior"
504.369031023606 12.5 "random from prior"
504.526121054487 14.5 "random from prior"
504.403390875902 16.5 "random from prior"
504.310851849029 18.5 "random from prior"
504.363102410903 20.5 "random from prior"
504.324138410675 22.5 "random from prior"
504.534777735184 24.5 "random from prior"
504.484208643767 26.5 "random from prior"
504.432273187382 28.5 "random from prior"
504.449471064395 30.5 "random from prior"
504.501313578079 32.5 "random from prior"
504.518301497767 34.5 "random from prior"
504.475448821261 36.5 "random from prior"
504.53377918747 38.5 "random from prior"
504.555274048035 40.5 "random from prior"
504.539343568714 42.5 "random from prior"
504.539504697898 44.5 "random from prior"
504.600589935749 46.5 "random from prior"
504.556922626745 48.5 "random from prior"
504.519505884612 50.5 "random from prior"
504.465801857349 52.5 "random from prior"
504.458116757321 54.5 "random from prior"
504.449401356051 56.5 "random from prior"
504.459863432822 58.5 "random from prior"
504.410031254439 60.5 "random from prior"
