"avg_dens" "T"
4458.44173171691 0.5
4461.49827033823 2.5
4462.20494910934 4.5
4461.41362792446 6.5
4461.22879859146 8.5
4460.8001606487 10.5
4460.6925014473 12.5
4461.64542395832 14.5
4462.14512841205 16.5
4462.34234379989 18.5
4462.33581434218 20.5
4462.81587141276 22.5
4462.64321882317 24.5
4462.74367999211 26.5
4462.72461207496 28.5
4463.01331027846 30.5
4462.92903539588 32.5
4463.03035552151 34.5
4463.05829673805 36.5
4463.15292558639 38.5
4463.14829920417 40.5
4463.17775337206 42.5
4463.06622459236 44.5
4463.10638545221 46.5
4463.20847989274 48.5
4463.14223946278 50.5
4463.18864942301 52.5
4463.07480447449 54.5
4463.08325569619 56.5
4463.1024786142 58.5
4463.09129389788 60.5
4463.05957124404 62.5
4463.206522795 64.5
4463.15208647645 66.5
4463.19315063882 68.5
4463.17187157922 70.5
4463.13805819973 72.5
4463.1501979668 74.5
4463.19470463042 76.5
4463.23004505633 78.5
4463.18369035534 80.5
4463.2368945118 82.5
4463.20229246293 84.5
4463.19438516372 86.5
4463.24288406312 88.5
4463.38939454585 90.5
4463.43311798828 92.5
4463.32706034847 94.5
4463.36136566839 96.5
4463.46908080892 98.5
4463.49584263752 100.5
4463.54814467379 102.5
4463.49813947046 104.5
4463.46665939966 106.5
4463.43747908693 108.5
4463.37479965516 110.5
4463.38675706385 112.5
4463.34532706728 114.5
4463.39025054644 116.5
4463.378971423 118.5
4463.35054871822 120.5
4463.37645152984 122.5
4463.45230685611 124.5
4463.3934465677 126.5
4463.35854065103 128.5
4463.34892001813 130.5
4463.31710437821 132.5
4463.35760512632 134.5
4463.36266594293 136.5
4463.33438695135 138.5
4463.3127551026 140.5
4463.35048031218 142.5
4463.3316802573 144.5
4463.31075615204 146.5
4463.3003641419 148.5
4463.31867062442 150.5
4463.30913637169 152.5
4463.28307815718 154.5
4463.32110540987 156.5
4463.29840955322 158.5
4463.33496388192 160.5
4463.34322832329 162.5
4463.30929611778 164.5
4463.29846762845 166.5
4463.30275149788 168.5
4463.33350744025 170.5
4463.30133931849 172.5
4463.31207782006 174.5
4463.28911194666 176.5
4463.28562490625 178.5
4463.18174349936 180.5
4463.24353260288 182.5
4463.20970861033 184.5
4463.20554004666 186.5
4463.21178359736 188.5
4463.25969639826 190.5
4463.29246011283 192.5
4463.26742543701 194.5
4463.21819490675 196.5
4463.24731778087 198.5
4463.23214811004 200.5
4463.22825326078 202.5
4463.28778934163 204.5
4463.29360174609 206.5
4463.32019167964 208.5
4463.28796025994 210.5
4463.2767411143 212.5
4463.30963789551 214.5
4463.28454802297 216.5
4463.28337945281 218.5
4463.25106699958 220.5
4463.27286241869 222.5
4463.29751727705 224.5
4463.24503720531 226.5
4463.27687089261 228.5
4463.25709376896 230.5
4463.26121875946 232.5
4463.17056034145 234.5
4463.19811249576 236.5
4463.22090584733 238.5
4463.22894407243 240.5
4463.26306255331 242.5
4463.2440427415 244.5
4463.25482581546 246.5
4463.26400583655 248.5
4463.24576394621 250.5
4463.2744844496 252.5
4463.27206118826 254.5
4463.23377727561 256.5
4463.22878352509 258.5
4463.25349448446 260.5
4463.24877526489 262.5
4463.24849454531 264.5
4463.21796508948 266.5
4463.21869554298 268.5
4463.20990781654 270.5
4463.20467852076 272.5
4463.2202449934 274.5
4463.22110883113 276.5
4463.28399611204 278.5
4463.23055739982 280.5
4463.24175399377 282.5
4463.23608268667 284.5
4463.2208921895 286.5
4463.21992121072 288.5
4463.24056015882 290.5
4463.21700430067 292.5
4463.20289235279 294.5
4463.24113697813 296.5
4463.21741150768 298.5
4463.20713366704 300.5
